group,scores,logfoldchanges,pvals,pvals_adj,gene_name,mean,std,median,count,sum,nonzero,perc_expressing,is_TF,is_neuropeptide
C1,37.501247,2.3210623,8.789869000562766e-308,3.059362738251429e-305,Adcy8,2.4272615909576416,2.6423494815826416,0.0,21000.0,50972.4921875,9780,0.4657142857142857,False,False
C1,43.98468,2.3191984,0.0,0.0,Runx1t1,3.403682231903076,2.6973342895507812,4.764758110046387,21000.0,71477.328125,13147,0.6260476190476191,False,False
C1,50.287674,2.3184264,0.0,0.0,Dcc,6.549443244934082,1.8929613828659058,7.042793273925781,21000.0,137538.3125,19712,0.9386666666666666,False,False
C1,43.300304,2.3153749,0.0,0.0,Fstl5,4.135502338409424,2.8693771362304688,5.41599702835083,21000.0,86845.546875,14489,0.689952380952381,False,False
C1,5.758442,2.3139238,8.489387334285942e-09,3.336114890970765e-08,Gm13589,0.21418604254722595,0.9700479507446289,0.0,21000.0,4497.90673828125,991,0.04719047619047619,False,False
C1,41.163647,2.3006039,0.0,0.0,C130073E24Rik,5.005164623260498,2.4252543449401855,5.8532304763793945,21000.0,105108.453125,17357,0.8265238095238095,False,False
C1,4.2853484,2.2988093,1.8245314421624047e-05,5.6447849309370204e-05,Csta2,0.17181669175624847,0.9080922603607178,0.0,21000.0,3608.150390625,740,0.035238095238095235,False,False
C1,45.20083,2.2924225,0.0,0.0,Erbb4,5.014044761657715,3.1855356693267822,6.303670406341553,21000.0,105294.9375,15438,0.7351428571428571,False,False
C1,11.331408,2.2849443,9.171914837599509e-30,1.0939942209911647e-28,C1ql3,0.469260036945343,1.448855996131897,0.0,21000.0,9854.4609375,2036,0.09695238095238096,False,False
C1,31.199575,2.2765548,1.0796582991466932e-213,1.8659473776976643e-211,8030451O07Rik,1.5545132160186768,2.284698009490967,0.0,21000.0,32644.77734375,6756,0.32171428571428573,False,False
C1,18.282305,2.272897,1.1448471811476067e-74,4.3535463368071354e-73,Adcy7,0.7552285194396973,1.7228281497955322,0.0,21000.0,15859.798828125,3433,0.16347619047619047,False,False
C1,2.840429,2.266964,0.004505289446460875,0.01110262105696819,Col6a6,0.11219672858715057,0.7290896773338318,0.0,21000.0,2356.13134765625,494,0.023523809523809523,False,False
C1,8.213799,2.260069,2.1429813327641097e-16,1.3459426616307917e-15,Col11a2,0.31375783681869507,1.1614365577697754,0.0,21000.0,6588.91455078125,1449,0.069,False,False
C1,39.24623,2.2569435,0.0,0.0,Mir124-2hg,2.4908835887908936,2.544969320297241,0.0,21000.0,52308.5546875,10436,0.496952380952381,False,False
C1,44.335495,2.2539225,0.0,0.0,Samd5,3.1635468006134033,2.6151061058044434,4.582452774047852,21000.0,66434.484375,12679,0.6037619047619047,False,False
C1,46.805305,2.2497308,0.0,0.0,Npas3,4.246392726898193,2.743837833404541,5.337170600891113,21000.0,89174.25,15182,0.7229523809523809,True,False
C1,34.336586,2.2454116,2.233410632359472e-258,5.280119853483808e-256,Gm2824,1.8387031555175781,2.3835268020629883,0.0,21000.0,38612.765625,7960,0.379047619047619,False,False
C1,54.47635,2.2435906,0.0,0.0,Gabrg3,6.290241241455078,1.7985894680023193,6.761021614074707,21000.0,132095.0625,19685,0.9373809523809524,False,False
C1,2.680246,2.2375424,0.007356804370699431,0.017722969262834412,Myo3a,0.10235083848237991,0.6881474256515503,0.0,21000.0,2149.36767578125,464,0.022095238095238095,False,False
C1,33.877064,2.2342944,1.45015980964765e-251,3.2447325740866173e-249,Synpr,2.1541004180908203,2.7124202251434326,0.0,21000.0,45236.109375,8320,0.3961904761904762,False,False
C1,3.1849692,2.2333462,0.0014476945476225047,0.003757947520553135,4930593C16Rik,0.11744518578052521,0.7193038463592529,0.0,21000.0,2466.348876953125,553,0.026333333333333334,False,False
C1,6.10407,2.2266512,1.0340090438417637e-09,4.346237275859544e-09,Gm28175,0.241028293967247,1.0418133735656738,0.0,21000.0,5061.59423828125,1085,0.051666666666666666,False,False
C1,2.5338552,2.2226713,0.011281532841471483,0.02665867166499532,Pou3f4,0.09306203573942184,0.6436662077903748,0.0,21000.0,1954.302734375,436,0.020761904761904763,True,False
C1,43.486935,2.2171543,0.0,0.0,Cntnap4,3.891385793685913,2.643927812576294,5.129210948944092,21000.0,81719.1015625,14626,0.6964761904761905,False,False
C1,48.368847,2.210858,0.0,0.0,Pdcd7,3.86719012260437,2.3465380668640137,4.9209184646606445,21000.0,81210.9921875,15564,0.7411428571428571,False,False
C1,2.8735301,2.209286,0.004059123996375695,0.01004559029717311,Lhx9,0.1149202510714531,0.7436186671257019,0.0,21000.0,2413.3251953125,499,0.023761904761904762,True,False
C1,3.3978508,2.2032237,0.0006791748189649252,0.0018224778844909547,Gm28526,0.1549140363931656,0.9067808985710144,0.0,21000.0,3253.19482421875,617,0.029380952380952383,False,False
C1,2.3277874,2.1915889,0.019923394768207286,0.04571326431892278,Sim2,0.0876724123954773,0.6290040016174316,0.0,21000.0,1841.1207275390625,406,0.019333333333333334,True,False
C1,8.367892,2.1877933,5.865817778982826e-17,3.807236299956219e-16,C230014O12Rik,0.3301384150981903,1.1996620893478394,0.0,21000.0,6932.90673828125,1500,0.07142857142857142,False,False
C1,2.3158987,2.185887,0.020563798742464463,0.04711792964123246,Gm12130,0.08983193337917328,0.6430479288101196,0.0,21000.0,1886.4705810546875,409,0.019476190476190477,False,False
C1,37.247875,2.1855433,1.146966389232954e-303,3.781970751865504e-301,Gad2,2.650010824203491,2.757333278656006,0.0,21000.0,55650.2265625,10269,0.489,False,False
C1,43.625736,2.1841786,0.0,0.0,Kirrel3,5.116431713104248,2.6385111808776855,6.041077613830566,21000.0,107445.0625,17005,0.8097619047619048,False,False
C1,38.119,2.180268,0.0,0.0,Grik1,3.6551387310028076,2.975954532623291,4.984550476074219,21000.0,76757.9140625,12974,0.6178095238095238,False,False
C1,36.64358,2.1751122,5.7907530925207694e-294,1.668003132167477e-291,4930555F03Rik,4.305217266082764,2.670658588409424,5.417652130126953,21000.0,90409.5625,15490,0.7376190476190476,False,False
C1,42.089012,2.1659374,0.0,0.0,A830018L16Rik,3.7617335319519043,2.771710157394409,5.066308975219727,21000.0,78996.40625,13892,0.6615238095238095,False,False
C2,89.15534,5.556024,0.0,0.0,Slit3,5.894546031951904,1.8373801708221436,6.426177978515625,5540.0,32655.78515625,5110,0.9223826714801444,False,False
C2,64.673584,5.1858344,0.0,0.0,Gpr149,3.5991063117980957,2.7096760272979736,4.956975936889648,5540.0,19939.048828125,3594,0.6487364620938628,False,False
C2,26.742514,4.9445696,1.508899925804807e-157,1.3901850051716348e-155,Nr5a1,1.1430238485336304,2.0426578521728516,0.0,5540.0,6332.35205078125,1334,0.2407942238267148,True,False
C2,74.78576,4.658757,0.0,0.0,Hs3st4,6.15959358215332,1.969226360321045,6.760071754455566,5540.0,34124.1484375,5085,0.9178700361010831,False,False
C2,33.638123,4.655668,4.651210253446393e-248,7.377172718440926e-246,9130024F11Rik,1.6461138725280762,2.4599897861480713,0.0,5540.0,9119.470703125,1741,0.31425992779783396,False,False
C2,63.869743,4.4964685,0.0,0.0,Gda,3.7989296913146973,2.4850687980651855,4.965810775756836,5540.0,21046.0703125,3934,0.7101083032490975,False,False
C2,37.60776,4.454827,1.605233402950217e-309,3.657013552539312e-307,Satb2,1.9182367324829102,2.5769360065460205,0.0,5540.0,10627.03125,2008,0.3624548736462094,True,False
C2,12.166209,4.403722,4.704285722920406e-34,1.0620666686160845e-32,Nr5a1os,0.5127577781677246,1.4642374515533447,0.0,5540.0,2840.677978515625,611,0.11028880866425993,False,False
C2,58.848473,4.27367,0.0,0.0,9530026P05Rik,4.501669883728027,2.7014951705932617,5.771029472351074,5540.0,24939.25,4133,0.746028880866426,False,False
C2,65.95772,4.2127705,0.0,0.0,Tmem132d,5.085696220397949,2.122144937515259,5.800492286682129,5540.0,28174.755859375,4787,0.8640794223826714,False,False
